sample_id,dataset,drug_id,drug_name,cell_context,cell_type,cell_line,tissue,batch,dose,time,condition,control_sample_id,source_file,source_split,split,control
"Myeloid cells, AZD4547",openproblems_neurips2023,AZD4547,AZD4547,Myeloid cells,Myeloid cells,PBMC,blood,de_test:private_test,not_available_in_de_h5ad,24h,treated,,de_test.h5ad,de_test,private_test,False
"B cells, Prednisolone",openproblems_neurips2023,Prednisolone,Prednisolone,B cells,B cells,PBMC,blood,de_test:private_test,not_available_in_de_h5ad,24h,treated,,de_test.h5ad,de_test,private_test,False
"Myeloid cells, Prednisolone",openproblems_neurips2023,Prednisolone,Prednisolone,Myeloid cells,Myeloid cells,PBMC,blood,de_test:private_test,not_available_in_de_h5ad,24h,treated,,de_test.h5ad,de_test,private_test,False
"B cells, Tacalcitol",openproblems_neurips2023,Tacalcitol,Tacalcitol,B cells,B cells,PBMC,blood,de_test:private_test,not_available_in_de_h5ad,24h,treated,,de_test.h5ad,de_test,private_test,False
"Myeloid cells, Tacalcitol",openproblems_neurips2023,Tacalcitol,Tacalcitol,Myeloid cells,Myeloid cells,PBMC,blood,de_test:private_test,not_available_in_de_h5ad,24h,treated,,de_test.h5ad,de_test,private_test,False
"B cells, Clotrimazole",openproblems_neurips2023,Clotrimazole,Clotrimazole,B cells,B cells,PBMC,blood,de_test:private_test,not_available_in_de_h5ad,24h,treated,,de_test.h5ad,de_test,private_test,False
"Myeloid cells, Clotrimazole",openproblems_neurips2023,Clotrimazole,Clotrimazole,Myeloid cells,Myeloid cells,PBMC,blood,de_test:private_test,not_available_in_de_h5ad,24h,treated,,de_test.h5ad,de_test,private_test,False
"B cells, Mubritinib (TAK 165)",openproblems_neurips2023,Mubritinib (TAK 165),Mubritinib (TAK 165),B cells,B cells,PBMC,blood,de_test:private_test,not_available_in_de_h5ad,24h,treated,,de_test.h5ad,de_test,private_test,False
"Myeloid cells, Mubritinib (TAK 165)",openproblems_neurips2023,Mubritinib (TAK 165),Mubritinib (TAK 165),Myeloid cells,Myeloid cells,PBMC,blood,de_test:private_test,not_available_in_de_h5ad,24h,treated,,de_test.h5ad,de_test,private_test,False
"B cells, Vanoxerine",openproblems_neurips2023,Vanoxerine,Vanoxerine,B cells,B cells,PBMC,blood,de_test:private_test,not_available_in_de_h5ad,24h,treated,,de_test.h5ad,de_test,private_test,False
"Myeloid cells, Vanoxerine",openproblems_neurips2023,Vanoxerine,Vanoxerine,Myeloid cells,Myeloid cells,PBMC,blood,de_test:private_test,not_available_in_de_h5ad,24h,treated,,de_test.h5ad,de_test,private_test,False
"B cells, SB525334",openproblems_neurips2023,SB525334,SB525334,B cells,B cells,PBMC,blood,de_test:private_test,not_available_in_de_h5ad,24h,treated,,de_test.h5ad,de_test,private_test,False
"Myeloid cells, SB525334",openproblems_neurips2023,SB525334,SB525334,Myeloid cells,Myeloid cells,PBMC,blood,de_test:private_test,not_available_in_de_h5ad,24h,treated,,de_test.h5ad,de_test,private_test,False
"B cells, HYDROXYUREA",openproblems_neurips2023,HYDROXYUREA,HYDROXYUREA,B cells,B cells,PBMC,blood,de_test:private_test,not_available_in_de_h5ad,24h,treated,,de_test.h5ad,de_test,private_test,False
"Myeloid cells, HYDROXYUREA",openproblems_neurips2023,HYDROXYUREA,HYDROXYUREA,Myeloid cells,Myeloid cells,PBMC,blood,de_test:private_test,not_available_in_de_h5ad,24h,treated,,de_test.h5ad,de_test,private_test,False
